year,type,region_name,10th_share,10th_share_zero
2019,Country,Алтайский край,41,0.59
2019,Country,Амурская область,43,0.57
2019,Country,Архангельская область,43,0.57
2019,Country,Астраханская область,30,0.7
2019,Country,Белгородская область,33,0.67
2019,Country,Брянская область,32,0.68
2019,Country,Владимирская область,29,0.71
2019,Country,Волгоградская область,36,0.64
2019,Country,Вологодская область,26,0.74
2019,Country,Воронежская область,38,0.62
2019,Country,Еврейская автономная область,43,0.57
2019,Country,Забайкальский край,39,0.61
2019,Country,Ивановская область,34,0.66
2019,Country,Иркутская область,44,0.56
2019,Country,Кабардино-Балкарская Республика,55,0.45
2019,Country,Калининградская область,28,0.72
2019,Country,Калужская область,32,0.68
2019,Country,Камчатский край,50,0.5
2019,Country,Карачаево-Черкесская Республика,43,0.57
2019,Country,Кемеровская область,27,0.73
2019,Country,Кировская область,29,0.71
2019,Country,Костромская область,35,0.65
2019,Country,Краснодарский край,38,0.62
2019,Country,Красноярский край,46,0.54
2019,Country,Курганская область,33,0.67
2019,Country,Курская область,32,0.68
2019,Country,Ленинградская область,29,0.71
2019,Country,Липецкая область,36,0.64
2019,Country,Магаданская область,52,0.48
2019,Country,Москва,,
2019,Country,Московская область,43,0.57
2019,Country,Мурманская область,42,0.58
2019,Country,Ненецкий автономный округ,18,0.82
2019,Country,Нижегородская область,30,0.7
2019,Country,Новгородская область,28,0.72
2019,Country,Новосибирская область,41,0.59
2019,Country,Омская область,40,0.6
2019,Country,Оренбургская область,31,0.69
2019,Country,Орловская область,32,0.68
2019,Country,Пензенская область,38,0.62
2019,Country,Пермский край,35,0.65
2019,Country,Приморский край,44,0.56
2019,Country,Псковская область,31,0.69
2019,Country,Республика Адыгея,39,0.61
2019,Country,Республика Алтай,45,0.55
2019,Country,Республика Башкортостан,37,0.63
2019,Country,Республика Бурятия,49,0.51
2019,Country,Республика Дагестан,43,0.57
2019,Country,Республика Ингушетия,42,0.58
2019,Country,Республика Калмыкия,54,0.46
2019,Country,Республика Карелия,39,0.61
2019,Country,Республика Коми,50,0.5
2019,Country,Республика Крым,56,0.44
2019,Country,Республика Марий Эл,36,0.64
2019,Country,Республика Мордовия,41,0.59
2019,Country,Республика Саха (Якутия),79,0.21
2019,Country,Республика Северная Осетия — Алания,41,0.59
2019,Country,Республика Татарстан,33,0.67
2019,Country,Республика Тыва,64,0.36
2019,Country,Республика Хакасия,41,0.59
2019,Country,Ростовская область,39,0.61
2019,Country,Рязанская область,29,0.71
2019,Country,Самарская область,35,0.65
2019,Country,Санкт-Петербург,,
2019,Country,Саратовская область,33,0.67
2019,Country,Сахалинская область,44,0.56
2019,Country,Свердловская область,33,0.67
2019,Country,Севастополь,,
2019,Country,Смоленская область,36,0.64
2019,Country,Ставропольский край,38,0.62
2019,Country,Тамбовская область,30,0.7
2019,Country,Тверская область,27,0.73
2019,Country,Томская область,47,0.53
2019,Country,Тульская область,35,0.65
2019,Country,Тюменская область,59,0.41
2019,Country,Удмуртская Республика,37,0.63
2019,Country,Ульяновская область,32,0.68
2019,Country,Хабаровский край,39,0.61
2019,Country,Ханты-Мансийский автономный округ — Югра,55,0.45
2019,Country,Челябинская область,35,0.65
2019,Country,Чеченская Республика,45,0.55
2019,Country,Чувашская Республика — Чувашия,45,0.55
2019,Country,Чукотский автономный округ,34,0.66
2019,Country,Ямало-Ненецкий автономный округ,48,0.52
2019,Country,Ярославская область,33,0.67
2020,Country,Алтайский край,39,0.61
2020,Country,Амурская область,41,0.59
2020,Country,Архангельская область,38,0.62
2020,Country,Астраханская область,29,0.71
2020,Country,Белгородская область,30,0.7
2020,Country,Брянская область,31,0.69
2020,Country,Владимирская область,26,0.74
2020,Country,Волгоградская область,37,0.63
2020,Country,Вологодская область,25,0.75
2020,Country,Воронежская область,34,0.66
2020,Country,Еврейская автономная область,47,0.53
2020,Country,Забайкальский край,38,0.62
2020,Country,Ивановская область,30,0.7
2020,Country,Иркутская область,40,0.6
2020,Country,Кабардино-Балкарская Республика,58,0.42
2020,Country,Калининградская область,33,0.67
2020,Country,Калужская область,29,0.71
2020,Country,Камчатский край,49,0.51
2020,Country,Карачаево-Черкесская Республика,45,0.55
2020,Country,Кемеровская область,27,0.73
2020,Country,Кировская область,27,0.73
2020,Country,Костромская область,34,0.66
2020,Country,Краснодарский край,37,0.63
2020,Country,Красноярский край,47,0.53
2020,Country,Курганская область,31,0.69
2020,Country,Курская область,30,0.7
2020,Country,Ленинградская область,34,0.66
2020,Country,Липецкая область,34,0.66
2020,Country,Магаданская область,43,0.57
2020,Country,Москва,,
2020,Country,Московская область,39,0.61
2020,Country,Мурманская область,32,0.68
2020,Country,Ненецкий автономный округ,23,0.77
2020,Country,Нижегородская область,27,0.73
2020,Country,Новгородская область,26,0.74
2020,Country,Новосибирская область,39,0.61
2020,Country,Омская область,39,0.61
2020,Country,Оренбургская область,29,0.71
2020,Country,Орловская область,30,0.7
2020,Country,Пензенская область,33,0.67
2020,Country,Пермский край,29,0.71
2020,Country,Приморский край,40,0.6
2020,Country,Псковская область,33,0.67
2020,Country,Республика Адыгея,37,0.63
2020,Country,Республика Алтай,42,0.58
2020,Country,Республика Башкортостан,34,0.66
2020,Country,Республика Бурятия,48,0.52
2020,Country,Республика Дагестан,44,0.56
2020,Country,Республика Ингушетия,43,0.57
2020,Country,Республика Калмыкия,50,0.5
2020,Country,Республика Карелия,35,0.65
2020,Country,Республика Коми,45,0.55
2020,Country,Республика Крым,49,0.51
2020,Country,Республика Марий Эл,32,0.68
2020,Country,Республика Мордовия,41,0.59
2020,Country,Республика Саха (Якутия),76,0.24
2020,Country,Республика Северная Осетия — Алания,36,0.64
2020,Country,Республика Татарстан,34,0.66
2020,Country,Республика Тыва,62,0.38
2020,Country,Республика Хакасия,39,0.61
2020,Country,Ростовская область,35,0.65
2020,Country,Рязанская область,27,0.73
2020,Country,Самарская область,32,0.68
2020,Country,Санкт-Петербург,,
2020,Country,Саратовская область,32,0.68
2020,Country,Сахалинская область,43,0.57
2020,Country,Свердловская область,26,0.74
2020,Country,Севастополь,43,0.57
2020,Country,Смоленская область,32,0.68
2020,Country,Ставропольский край,36,0.64
2020,Country,Тамбовская область,29,0.71
2020,Country,Тверская область,29,0.71
2020,Country,Томская область,45,0.55
2020,Country,Тульская область,35,0.65
2020,Country,Тюменская область,58,0.42
2020,Country,Удмуртская Республика,35,0.65
2020,Country,Ульяновская область,32,0.68
2020,Country,Хабаровский край,39,0.61
2020,Country,Ханты-Мансийский автономный округ — Югра,49,0.51
2020,Country,Челябинская область,30,0.7
2020,Country,Чеченская Республика,46,0.54
2020,Country,Чувашская Республика — Чувашия,43,0.57
2020,Country,Чукотский автономный округ,39,0.61
2020,Country,Ямало-Ненецкий автономный округ,50,0.5
2020,Country,Ярославская область,33,0.67
2021,Country,Алтайский край,43,0.57
2021,Country,Амурская область,40,0.6
2021,Country,Архангельская область,42,0.58
2021,Country,Астраханская область,30,0.7
2021,Country,Белгородская область,27,0.73
2021,Country,Брянская область,32,0.68
2021,Country,Владимирская область,24,0.76
2021,Country,Волгоградская область,37,0.63
2021,Country,Вологодская область,22,0.78
2021,Country,Воронежская область,36,0.64
2021,Country,Еврейская автономная область,54,0.46
2021,Country,Забайкальский край,36,0.64
2021,Country,Ивановская область,35,0.65
2021,Country,Иркутская область,45,0.55
2021,Country,Кабардино-Балкарская Республика,64,0.36
2021,Country,Калининградская область,29,0.71
2021,Country,Калужская область,29,0.71
2021,Country,Камчатский край,49,0.51
2021,Country,Карачаево-Черкесская Республика,41,0.59
2021,Country,Кемеровская область,25,0.75
2021,Country,Кировская область,29,0.71
2021,Country,Костромская область,47,0.53
2021,Country,Краснодарский край,39,0.61
2021,Country,Красноярский край,46,0.54
2021,Country,Курганская область,36,0.64
2021,Country,Курская область,31,0.69
2021,Country,Ленинградская область,34,0.66
2021,Country,Липецкая область,34,0.66
2021,Country,Магаданская область,36,0.64
2021,Country,Москва,,
2021,Country,Московская область,38,0.62
2021,Country,Мурманская область,34,0.66
2021,Country,Ненецкий автономный округ,22,0.78
2021,Country,Нижегородская область,32,0.68
2021,Country,Новгородская область,27,0.73
2021,Country,Новосибирская область,39,0.61
2021,Country,Омская область,38,0.62
2021,Country,Оренбургская область,29,0.71
2021,Country,Орловская область,30,0.7
2021,Country,Пензенская область,32,0.68
2021,Country,Пермский край,30,0.7
2021,Country,Приморский край,46,0.54
2021,Country,Псковская область,31,0.69
2021,Country,Республика Адыгея,44,0.56
2021,Country,Республика Алтай,47,0.53
2021,Country,Республика Башкортостан,33,0.67
2021,Country,Республика Бурятия,51,0.49
2021,Country,Республика Дагестан,43,0.57
2021,Country,Республика Ингушетия,45,0.55
2021,Country,Республика Калмыкия,52,0.48
2021,Country,Республика Карелия,36,0.64
2021,Country,Республика Коми,44,0.56
2021,Country,Республика Крым,50,0.5
2021,Country,Республика Марий Эл,34,0.66
2021,Country,Республика Мордовия,56,0.44
2021,Country,Республика Саха (Якутия),78,0.22
2021,Country,Республика Северная Осетия — Алания,40,0.6
2021,Country,Республика Татарстан,35,0.65
2021,Country,Республика Тыва,67,0.33
2021,Country,Республика Хакасия,38,0.62
2021,Country,Ростовская область,36,0.64
2021,Country,Рязанская область,29,0.71
2021,Country,Самарская область,30,0.7
2021,Country,Санкт-Петербург,,
2021,Country,Саратовская область,32,0.68
2021,Country,Сахалинская область,48,0.52
2021,Country,Свердловская область,30,0.7
2021,Country,Севастополь,38,0.62
2021,Country,Смоленская область,35,0.65
2021,Country,Ставропольский край,40,0.6
2021,Country,Тамбовская область,30,0.7
2021,Country,Тверская область,31,0.69
2021,Country,Томская область,46,0.54
2021,Country,Тульская область,37,0.63
2021,Country,Тюменская область,58,0.42
2021,Country,Удмуртская Республика,36,0.64
2021,Country,Ульяновская область,34,0.66
2021,Country,Хабаровский край,40,0.6
2021,Country,Ханты-Мансийский автономный округ — Югра,48,0.52
2021,Country,Челябинская область,33,0.67
2021,Country,Чеченская Республика,49,0.51
2021,Country,Чувашская Республика — Чувашия,45,0.55
2021,Country,Чукотский автономный округ,30,0.7
2021,Country,Ямало-Ненецкий автономный округ,47,0.53
2021,Country,Ярославская область,32,0.68
2022,Country,Алтайский край,33,0.67
2022,Country,Амурская область,38,0.62
2022,Country,Архангельская область,37,0.63
2022,Country,Астраханская область,28,0.72
2022,Country,Белгородская область,27,0.73
2022,Country,Брянская область,32,0.68
2022,Country,Владимирская область,22,0.78
2022,Country,Волгоградская область,32,0.68
2022,Country,Вологодская область,21,0.79
2022,Country,Воронежская область,35,0.65
2022,Country,Еврейская автономная область,47,0.53
2022,Country,Забайкальский край,33,0.67
2022,Country,Ивановская область,40,0.6
2022,Country,Иркутская область,43,0.57
2022,Country,Кабардино-Балкарская Республика,58,0.42
2022,Country,Калининградская область,28,0.72
2022,Country,Калужская область,28,0.72
2022,Country,Камчатский край,50,0.5
2022,Country,Карачаево-Черкесская Республика,39,0.61
2022,Country,Кемеровская область,25,0.75
2022,Country,Кировская область,27,0.73
2022,Country,Костромская область,39,0.61
2022,Country,Краснодарский край,37,0.63
2022,Country,Красноярский край,44,0.56
2022,Country,Курганская область,32,0.68
2022,Country,Курская область,29,0.71
2022,Country,Ленинградская область,31,0.69
2022,Country,Липецкая область,34,0.66
2022,Country,Магаданская область,31,0.69
2022,Country,Москва,,
2022,Country,Московская область,39,0.61
2022,Country,Мурманская область,35,0.65
2022,Country,Ненецкий автономный округ,17,0.83
2022,Country,Нижегородская область,31,0.69
2022,Country,Новгородская область,20,0.8
2022,Country,Новосибирская область,37,0.63
2022,Country,Омская область,33,0.67
2022,Country,Оренбургская область,28,0.72
2022,Country,Орловская область,29,0.71
2022,Country,Пензенская область,31,0.69
2022,Country,Пермский край,27,0.73
2022,Country,Приморский край,44,0.56
2022,Country,Псковская область,34,0.66
2022,Country,Республика Адыгея,45,0.55
2022,Country,Республика Алтай,39,0.61
2022,Country,Республика Башкортостан,30,0.7
2022,Country,Республика Бурятия,50,0.5
2022,Country,Республика Дагестан,40,0.6
2022,Country,Республика Ингушетия,43,0.57
2022,Country,Республика Калмыкия,48,0.52
2022,Country,Республика Карелия,36,0.64
2022,Country,Республика Коми,42,0.58
2022,Country,Республика Крым,50,0.5
2022,Country,Республика Марий Эл,30,0.7
2022,Country,Республика Мордовия,40,0.6
2022,Country,Республика Саха (Якутия),76,0.24
2022,Country,Республика Северная Осетия — Алания,39,0.61
2022,Country,Республика Татарстан,33,0.67
2022,Country,Республика Тыва,63,0.37
2022,Country,Республика Хакасия,40,0.6
2022,Country,Ростовская область,35,0.65
2022,Country,Рязанская область,29,0.71
2022,Country,Самарская область,27,0.73
2022,Country,Санкт-Петербург,,
2022,Country,Саратовская область,30,0.7
2022,Country,Сахалинская область,45,0.55
2022,Country,Свердловская область,26,0.74
2022,Country,Севастополь,37,0.63
2022,Country,Смоленская область,33,0.67
2022,Country,Ставропольский край,40,0.6
2022,Country,Тамбовская область,29,0.71
2022,Country,Тверская область,32,0.68
2022,Country,Томская область,44,0.56
2022,Country,Тульская область,35,0.65
2022,Country,Тюменская область,56,0.44
2022,Country,Удмуртская Республика,31,0.69
2022,Country,Ульяновская область,30,0.7
2022,Country,Хабаровский край,39,0.61
2022,Country,Ханты-Мансийский автономный округ — Югра,50,0.5
2022,Country,Челябинская область,32,0.68
2022,Country,Чеченская Республика,46,0.54
2022,Country,Чувашская Республика — Чувашия,38,0.62
2022,Country,Чукотский автономный округ,35,0.65
2022,Country,Ямало-Ненецкий автономный округ,45,0.55
2022,Country,Ярославская область,31,0.69
2023,Country,Алтайский край,31,0.69
2023,Country,Амурская область,39,0.61
2023,Country,Архангельская область,38,0.62
2023,Country,Астраханская область,25,0.75
2023,Country,Белгородская область,25,0.75
2023,Country,Брянская область,32,0.68
2023,Country,Владимирская область,21,0.79
2023,Country,Волгоградская область,33,0.67
2023,Country,Вологодская область,22,0.78
2023,Country,Воронежская область,32,0.68
2023,Country,Еврейская автономная область,36,0.64
2023,Country,Забайкальский край,36,0.64
2023,Country,Ивановская область,35,0.65
2023,Country,Иркутская область,41,0.59
2023,Country,Кабардино-Балкарская Республика,54,0.46
2023,Country,Калининградская область,26,0.74
2023,Country,Калужская область,26,0.74
2023,Country,Камчатский край,48,0.52
2023,Country,Карачаево-Черкесская Республика,37,0.63
2023,Country,Кемеровская область,23,0.77
2023,Country,Кировская область,26,0.74
2023,Country,Костромская область,35,0.65
2023,Country,Краснодарский край,35,0.65
2023,Country,Красноярский край,44,0.56
2023,Country,Курганская область,30,0.7
2023,Country,Курская область,29,0.71
2023,Country,Ленинградская область,31,0.69
2023,Country,Липецкая область,32,0.68
2023,Country,Магаданская область,37,0.63
2023,Country,Москва,,
2023,Country,Московская область,38,0.62
2023,Country,Мурманская область,40,0.6
2023,Country,Ненецкий автономный округ,20,0.8
2023,Country,Нижегородская область,28,0.72
2023,Country,Новгородская область,23,0.77
2023,Country,Новосибирская область,34,0.66
2023,Country,Омская область,32,0.68
2023,Country,Оренбургская область,28,0.72
2023,Country,Орловская область,27,0.73
2023,Country,Пензенская область,32,0.68
2023,Country,Пермский край,26,0.74
2023,Country,Приморский край,43,0.57
2023,Country,Псковская область,33,0.67
2023,Country,Республика Адыгея,38,0.62
2023,Country,Республика Алтай,41,0.59
2023,Country,Республика Башкортостан,30,0.7
2023,Country,Республика Бурятия,49,0.51
2023,Country,Республика Дагестан,35,0.65
2023,Country,Республика Ингушетия,43,0.57
2023,Country,Республика Калмыкия,48,0.52
2023,Country,Республика Карелия,36,0.64
2023,Country,Республика Коми,41,0.59
2023,Country,Республика Крым,44,0.56
2023,Country,Республика Марий Эл,30,0.7
2023,Country,Республика Мордовия,45,0.55
2023,Country,Республика Саха (Якутия),76,0.24
2023,Country,Республика Северная Осетия — Алания,38,0.62
2023,Country,Республика Татарстан,32,0.68
2023,Country,Республика Тыва,62,0.38
2023,Country,Республика Хакасия,40,0.6
2023,Country,Ростовская область,35,0.65
2023,Country,Рязанская область,28,0.72
2023,Country,Самарская область,26,0.74
2023,Country,Санкт-Петербург,,
2023,Country,Саратовская область,31,0.69
2023,Country,Сахалинская область,44,0.56
2023,Country,Свердловская область,26,0.74
2023,Country,Севастополь,38,0.62
2023,Country,Смоленская область,33,0.67
2023,Country,Ставропольский край,37,0.63
